profit_06Y,code,profit_14Y,profit_12Y,profit_10Y,asset_13Y,asset_08Y,profit_09Y,asset_07Y,asset_15Y,asset_11Y,profit_11Y,profit_15Y,profit_13Y,asset_09Y,profit_07Y,asset_12Y,profit_08Y,asset_14Y,asset_06Y,Year_Month,asset_10Y
"9,335",003550,"8,343","9,543","16,016","165,502","647,821","52,257","540,802","181,234","151,607","10,298","9,438","8,309","688,389","36,321","160,477","29,668","173,327","501,192",2006.12,"137,789"
333,003570,26,437,541,"9,357","7,973",418,"9,437","9,217","11,823",566,326,226,"9,108",581,"11,566",321,"9,144","8,464",2006.12,"8,994"
59,003650,160,247,217,"2,069","1,278",253,922,"2,517","1,941",209,251,174,"1,653",107,"2,031",215,"2,157",757,2006.12,"1,823"
143,003670,733,754,561,"6,304","2,334",331,"1,743","7,175","4,925",914,322,580,"2,575",169,"5,404",252,"7,216","1,555",2006.12,"3,559"
7,003780,30,30,39,388,201,31,"1,006",431,312,42,53,29,217,45,318,32,394,"1,012",2006.12,234
133,003800,238,330,305,"3,329","1,908",230,"1,703","3,823","2,882",381,305,289,"2,155",154,"3,117",174,"3,517","1,583",2006.12,"2,455"
22,003850,216,94,136,"2,676","1,662",52,"1,621","3,309","2,624",62,203,141,"1,768",84,"2,730",52,"2,824","1,586",2006.12,"2,131"
322,004000,587,733,852,"19,001","9,440",867,"8,475","16,842","14,005",734,900,33,"10,251",401,"16,079",853,"18,460","8,252",2006.12,"12,712"
"4,929",004020,"7,823","7,964","10,322","295,203","122,047","11,699","92,843","319,364","217,767","7,471","7,392","7,094","160,523","5,320","229,514","7,893","289,338","74,236",2006.12,"187,408"
61,004080,67,10,47,"1,293","1,452",16,"1,366","1,370","1,420",29,29,13,"1,407",42,"1,410",17,"1,234","1,353",2006.12,"1,300"
15,004090,67,38,42,"2,300",963,43,795,"2,402","2,363",33,145,77,954,28,"2,159",28,"2,310",857,2006.12,"1,105"
19,004100,67,16,44,"3,645","2,479",25,"1,803","3,701","3,384",8,40,15,"2,547",33,"4,046",21,"3,644","1,625",2006.12,"2,707"
"4,955",004170,"1,861","1,937","11,059","75,000","107,958","5,826","89,335","79,182","41,447","35,221","4,332","1,947","111,536","5,208","69,685","5,629","79,314","80,748",2006.12,"144,521"
46,004250,264,188,261,"3,052","1,368",51,"1,173","3,440","2,389",134,248,260,"3,825",49,"2,552",63,"3,057","1,094",2006.12,"4,160"
337,004360,389,541,"1,057","9,007","9,138",954,"8,331","9,184","9,086",548,434,294,"10,095",333,"9,032",942,"8,908","7,669",2006.12,"10,961"
54,004450,79,76,66,"1,350","1,624",113,"1,065","1,516","1,227",77,97,74,"1,064",80,"1,260",68,"1,421","1,068",2006.12,"1,127"
119,004490,614,979,792,"8,702","3,589",703,"3,168","10,014","7,126","1,054",786,700,"4,290",188,"7,726",754,"9,277","2,630",2006.12,"5,111"
12,004590,52,34,2,828,355,203,313,925,813,19,60,27,596,9,858,0,872,320,2006.12,668
531,004690,116,357,689,"27,477","12,749","1,209","10,926","35,435","24,458",306,372,403,"15,307",570,"27,753",500,"36,598","12,367",2006.12,"15,389"
97,004700,79,61,158,"1,930","1,079",143,"1,361","1,969","1,767",95,75,110,"1,405",48,"1,790",32,"2,037","1,234",2006.12,"1,654"
11,004830,8,20,24,"1,030",732,35,743,973,898,3,5,44,827,4,999,5,979,697,2006.12,902
102,004890,112,289,490,"3,601","2,655",254,"2,060","3,475","3,718",381,42,93,"2,730",225,"3,619",550,"3,569","2,082",2006.12,"3,391"
57,004910,168,128,134,"2,264","1,140",150,"1,023","2,408","2,018",60,193,117,"1,278",44,"2,176",39,"2,416",976,2006.12,"1,436"
68,004970,159,695,429,"5,019","3,580",312,"3,452","5,101","4,351",295,167,263,"3,824",174,"5,099",536,"5,104","3,192",2006.12,"4,406"
"2,983",004990,17,898,"1,369","44,322","31,618",393,"21,892","43,259","39,013","1,004",792,552,"37,144","1,090","40,244","1,728","39,979","19,484",2006.12,"40,102"
188,005010,150,259,304,"5,616","5,642",14,"4,184","5,140","5,369",354,7,62,"4,610",166,"5,560",668,"5,787","3,749",2006.12,"4,765"
166,005090,184,152,413,"7,667","11,376",404,"7,305","8,412","5,347",222,193,89,"8,434",193,"6,297",348,"8,133","5,828",2006.12,"11,804"
284,005180,376,507,489,"5,643","3,733",488,"3,372","6,170","4,939",420,247,379,"4,215",420,"5,456",416,"5,789","3,174",2006.12,"4,747"
27,005190,31,43,10,"1,353",658,6,"2,574","1,588",979,42,118,50,661,150,"1,102",3,"1,416","1,831",2006.12,734
178,005250,"1,015",901,"1,185","16,241","27,835",753,"24,316","20,587","46,032",571,"1,128",808,"33,458",410,"14,463",363,"17,909","20,117",2006.12,"41,113"
706,005300,206,830,369,"39,585","17,961",79,"19,415","43,820","35,992",771,"1,003","1,035","29,521",634,"37,505",552,"41,000","18,156",2006.12,"37,657"
"13,112",005380,"76,495","90,563","79,829","1,334,215","1,032,058","40,434","838,475","1,653,679","1,094,800","81,049","65,092","89,935","1,023,249","19,561","1,215,378","10,926","1,472,251","707,095",2006.12,"1,180,778"
263,005440,979,808,807,"19,221","6,946",499,"8,439","19,541","16,826",865,915,914,"8,703",355,"17,976",569,"18,830","7,031",2006.12,"14,052"
86,005500,207,106,105,"2,039","1,786",70,"1,577","2,207","2,081",71,270,79,"1,876",64,"2,042",67,"2,093","1,553",2006.12,"1,912"
92,005610,334,106,64,"5,545","2,117",66,"1,977","6,129","3,606",62,376,221,"2,128",80,"5,458",73,"5,717","1,924",2006.12,"2,320"
1,005670,21,14,15,968,754,7,693,"1,114",981,6,19,13,762,2,969,8,"1,010",694,2006.12,809
58,005710,132,249,121,"3,240","1,181",75,"1,255","3,071","2,835",140,64,287,"1,542",38,"3,073",1,"3,663","1,485",2006.12,"2,140"
20,005820,53,39,35,"1,269","1,276",46,837,"1,333",961,26,51,86,"1,214",36,945,27,"1,290",763,2006.12,"1,334"
"81,937",005930,"233,944","238,453","161,465","2,140,750","1,053,007","102,299","933,751","2,421,795","1,556,313","137,341","190,601","304,748","1,182,815","79,230","1,810,716","58,902","2,304,230","813,662",2006.12,"1,342,887"
319,005990,239,205,261,"7,242","5,880",230,"5,043","8,355","6,121",47,261,230,"5,953",261,"6,277",113,"7,751","4,296",2006.12,"6,042"
241,006040,586,"1,027","1,166","12,780","7,229",963,"4,083","16,180","13,068",657,70,839,"11,090",435,"13,807",430,"14,649","3,410",2006.12,"12,360"
981,006120,140,"1,566","2,755","48,603","55,186","1,446","39,510","65,950","40,345","1,909",944,78,"24,027",962,"49,939",599,"55,548","34,526",2006.12,"36,283"
56,006140,66,95,65,"1,008",564,71,551,"1,094",926,82,63,93,635,54,962,19,991,542,2006.12,794
142,006220,139,273,190,"31,960","29,034",128,"27,851","44,646","31,682",224,194,205,"29,563",143,"32,429",221,"34,757","24,816",2006.12,"30,280"
348,006280,868,556,"1,047","11,043","5,494",805,"4,256","14,151","8,604",576,957,720,"7,130",444,"9,544",489,"13,304","3,627",2006.12,"7,413"
37,006340,14,24,29,"2,227","1,555",22,"1,485","2,145","2,164",15,35,34,"1,501",31,"2,155",4,"2,109","1,324",2006.12,"1,542"
8,006880,35,94,38,"2,333",587,26,508,"2,272","1,803",65,21,94,579,26,"1,854",15,"2,378",483,2006.12,"1,378"
26,006890,61,72,71,"1,013",592,98,565,"1,179",843,78,54,42,772,31,902,58,"1,131",471,2006.12,837
414,007070,"1,113","1,235","5,212","28,801","21,140","1,248","15,538","47,355","29,940",934,"1,662","1,190","24,207",365,"29,138",520,"29,201","15,049",2006.12,"25,956"
62,007210,214,49,224,"3,984","3,446",137,"2,406","4,295","3,393",161,303,104,"3,778",62,"3,230",44,"4,000","2,292",2006.12,"3,929"
318,007310,941,758,546,"12,062","5,966",611,"5,448","14,843","9,890",707,"1,049",922,"6,710",456,"10,999",528,"13,516","5,577",2006.12,"8,095"
100,007340,448,580,556,"7,983","4,521",392,"3,512","10,645","7,401",531,747,485,"5,764",243,"7,306",418,"9,716","3,516",2006.12,"7,227"
13,007530,21,5,14,998,354,11,342,"1,211",902,7,20,24,437,15,969,1,"1,055",322,2006.12,652
5,007540,70,84,4,"2,438","1,698",67,"1,422","2,573","2,358",36,140,73,"1,813",43,"2,341",46,"2,352","1,384",2006.12,"1,903"
91,007590,76,53,66,"1,534","1,248",96,"1,161","1,701","1,499",64,57,63,"1,338",91,"1,524",55,"1,615","1,150",2006.12,"1,364"
