profit_06Y,code,profit_14Y,profit_12Y,profit_10Y,asset_13Y,asset_08Y,profit_09Y,asset_07Y,asset_15Y,asset_11Y,profit_11Y,profit_15Y,profit_13Y,asset_09Y,profit_07Y,asset_12Y,profit_08Y,asset_14Y,asset_06Y,Year_Month,asset_10Y
27,023890,516,541,562,"4,506","1,818",469,"1,325","5,429","3,336",492,546,540,"2,240",50,"3,812",623,"4,822","1,028",2006.12,"2,696"
69,023900,69,58,100,"1,225",905,87,862,"1,387","1,107",79,81,83,930,63,"1,165",94,"1,288",799,2006.12,"1,008"
10,023910,104,73,25,"1,187",559,12,544,"1,388",907,45,138,78,576,6,"1,011",7,"1,316",534,2006.12,618
24,024060,18,14,15,712,683,25,734,781,756,20,29,7,714,24,747,25,691,734,2006.12,745
67,024070,55,73,82,"1,306","1,158",100,"1,086","1,306","1,344",94,28,49,"1,278",66,"1,338",93,"1,340",999,2006.12,"1,257"
63,024090,2,113,246,"1,617","1,060",135,888,"1,632","1,681",166,45,28,"1,218",131,"1,958",105,"1,568",732,2006.12,"1,544"
"10,520",024110,"10,320","11,671","13,090","2,125,828","1,444,280","7,266","1,222,238","2,398,428","1,859,761","14,401","11,506","8,542","1,545,103","11,777","1,977,436","7,644","2,197,608","1,058,704",2006.12,"1,704,955"
49,024120,36,40,30,"1,151",844,42,717,"1,272","1,070",16,54,42,885,101,"1,045",37,"1,157",589,2006.12,932
49,024950,101,77,36,"1,000",309,38,252,"1,294",879,12,125,88,"1,225",29,946,5,"1,188",292,2006.12,"1,191"
297,025000,409,370,460,"4,717","2,623",390,"2,135","5,076","4,450",516,356,255,"2,923",307,"4,504",246,"5,121","1,908",2006.12,"3,230"
85,025530,181,203,166,"2,379","1,491",148,"1,332","2,696","2,271",235,266,194,"2,142",105,"2,298",143,"2,479","1,183",2006.12,"2,291"
158,025540,575,299,273,"5,721","2,567",132,"2,904","7,039","4,774",367,689,430,"3,189",278,"4,985",162,"6,467","2,551",2006.12,"3,476"
75,025950,19,24,60,844,644,42,600,905,805,32,36,80,666,134,839,37,832,545,2006.12,738
9,026040,90,76,70,"1,041",767,73,610,"1,308",894,45,32,85,724,15,963,4,"1,198",568,2006.12,771
25,026890,91,157,37,"1,634","1,427",47,"1,569","1,755","1,571",92,142,15,"1,474",36,"1,552",41,"1,678","1,592",2006.12,"1,499"
65,026940,31,61,101,"1,378","1,383",73,"1,221","1,202","1,443",74,1,35,"1,235",48,"1,401",93,"1,259","1,061",2006.12,"1,359"
659,026960,"1,310","1,255","1,201","11,128","6,579","1,107","5,844","12,564","9,515",998,"1,250","1,265","7,343",790,"10,270",927,"11,758","5,038",2006.12,"8,349"
154,027390,245,386,257,"3,765","2,570",174,"2,270","5,118","3,110",254,85,122,"3,098",117,"3,597",124,"4,085","2,283",2006.12,"3,133"
290,027410,"1,015",423,675,"11,599","5,358",493,"4,691","16,216","8,227",774,"1,528",700,"6,139",334,"8,876",426,"13,385","4,320",2006.12,"7,651"
44,028100,42,79,127,"2,253","1,231",115,"1,077","2,594","2,029",68,45,21,"1,765",72,"2,262",69,"2,327",930,2006.12,"1,785"
587,028150,"1,145","1,066",746,"11,793","6,540",548,"6,143","12,372","9,698","2,002",784,"1,218","7,034",538,"10,558",589,"12,956","5,990",2006.12,"7,743"
"1,072",028260,"4,551","1,406","1,689","85,539","38,025","1,497","36,575","423,614","59,080","2,960","26,857",452,"39,304","1,152","66,423","1,736","95,114","36,083",2006.12,"64,396"
139,029460,256,112,274,"3,059","1,974",94,"1,890","4,039","2,525",138,457,262,"2,039",203,"2,383",99,"3,524","1,589",2006.12,"2,431"
473,029530,171,520,744,"9,198","8,435",640,"7,677","9,293","9,809",656,94,253,"8,348",759,"9,700",571,"9,156","6,921",2006.12,"8,851"
"2,719",029780,"6,560","7,499","11,562","165,609","144,336","6,038","125,340","190,710","161,353","3,752","3,337","2,732","117,888","5,718","162,878","2,577","177,366","111,521",2006.12,"125,140"
48,029960,98,97,22,931,667,2,709,"1,306",730,61,83,90,652,40,838,23,"1,045",717,2006.12,649
757,030000,"1,020",992,"1,049","17,045","13,266",918,"11,901","18,669","18,106",957,817,"1,023","13,227",598,"19,947",867,"18,439","10,294",2006.12,"13,768"
106,030190,178,112,16,"1,477","1,317",216,"1,168","1,901","1,295",154,222,155,"1,709",129,"1,454",154,"1,678","1,049",2006.12,"1,188"
62,030520,201,125,51,"1,530","1,061",144,"1,049","2,141","1,230",135,234,191,"1,556",129,"1,386",121,"1,731","1,004",2006.12,"1,152"
106,030530,571,179,268,"5,901","1,144",124,969,"6,585","4,927",184,730,374,"1,494",147,"4,779",125,"6,589",823,2006.12,"5,303"
150,031430,193,493,381,"7,555","2,762",249,"2,252","9,142","5,349",462,210,315,"3,044",189,"6,213",187,"8,878","1,351",2006.12,"3,693"
144,031440,42,277,289,"2,867","1,655",244,"1,443","5,033","2,487",313,67,193,"1,862",174,"2,642",190,"3,825","1,283",2006.12,"2,233"
25,031510,99,93,149,"2,745","1,708",42,"1,304","2,849","2,887",106,137,100,"1,521",69,"2,846",36,"2,666","1,258",2006.12,"1,828"
110,032190,981,680,"1,306","50,775","17,741",840,"1,922","71,334","43,619","1,141","2,574",649,"28,452",117,"50,509","1,034","55,931","1,630",2006.12,"35,521"
154,032560,89,58,152,"2,537","1,379",159,"1,157","2,941","2,577",93,54,68,"1,799",144,"2,420",14,"2,507","1,271",2006.12,"2,157"
9,032750,67,35,74,727,609,10,485,784,918,4,51,36,612,8,765,7,833,454,2006.12,714
56,032960,41,63,153,635,492,189,417,599,593,71,35,45,728,77,595,73,667,320,2006.12,882
23,033100,50,8,32,474,611,47,580,664,438,10,36,41,687,45,436,52,633,444,2006.12,684
58,033160,188,68,65,"3,714","1,392",68,"1,329","10,155","2,770",77,"1,805",461,"1,893",61,"2,624",125,"4,132",985,2006.12,"2,198"
9,033180,52,35,34,950,643,24,497,"1,045",900,23,31,44,665,10,886,16,"1,010",506,2006.12,826
71,033240,225,436,40,"3,571","1,800",58,"1,789","3,993","2,369",179,208,433,"1,846",105,"2,947",87,"3,596","1,597",2006.12,"1,978"
153,033530,226,452,475,"6,976","2,755",385,"2,567","9,144","6,378",421,198,465,"3,797",125,"6,696",143,"8,588","2,341",2006.12,"4,722"
34,033540,56,6,23,935,660,15,698,"1,003",881,53,28,46,801,33,829,29,"1,101",664,2006.12,875
27,033560,285,37,93,"1,199",722,95,710,"1,859","1,078",11,310,123,697,21,"1,040",77,"1,618",561,2006.12,801
671,033660,366,29,225,"62,419","46,645",159,"36,964","70,439","51,121",623,510,191,"37,440","1,097","58,799",270,"64,030","23,548",2006.12,"40,455"
"6,460",033780,"8,138","7,251","10,308","70,750","45,722","8,501","41,341","86,734","62,764","8,169","10,322","5,593","51,719","6,464","67,960","8,894","74,187","38,571",2006.12,"57,771"
90,033830,33,43,58,"1,020",793,52,790,"1,082",996,49,36,36,851,52,998,41,"1,042",761,2006.12,954
144,033920,829,345,310,"4,413","2,140",454,"1,864","5,568","3,256",414,288,550,"2,242",156,"3,766",9,"5,342","1,706",2006.12,"2,620"
115,034230,"1,058",798,416,"12,300","7,390",346,"7,279","19,939","7,420",325,718,"1,077","7,522",227,"10,366",183,"16,019","6,916",2006.12,"7,871"
181,034310,537,448,266,"8,655","4,016",403,"2,026","12,425","4,276",338,629,637,"5,017",233,"4,961",272,"11,910","1,768",2006.12,"4,162"
91,034590,234,96,88,"3,555","2,024",74,"2,064","3,342","3,138",111,72,103,"2,254",96,"3,674",107,"3,781","1,906",2006.12,"2,405"
"1,938",034730,"1,299","3,562","26,264","50,023","707,830","15,126","583,482","966,338","46,213","4,383","55,493","1,890","761,545","2,502","51,220","18,041","53,070","15,378",2006.12,"794,930"
22,034810,45,39,42,"1,441","1,210",61,"1,192","1,502","1,366",42,38,61,"1,236",25,"1,382",33,"1,467","1,170",2006.12,"1,288"
2,035200,26,13,14,372,215,10,207,364,320,10,29,29,223,4,329,6,382,201,2006.12,253
"2,479",035250,"3,593","3,062","4,211","31,020","20,764","3,900","20,222","36,908","27,114","3,812","4,416","2,976","23,870","2,928","29,067","3,093","33,751","17,120",2006.12,"26,105"
"1,508",035420,"4,518","5,444","4,947","26,977","12,192","4,226","8,562","43,859","23,727","4,521","5,170","18,953","16,054","2,771","29,273","3,694","33,945","5,823",2006.12,"19,759"
134,035510,121,150,226,"1,948","1,747",135,"1,459","2,173","1,828",171,68,128,"1,921",144,"1,901",121,"2,089","1,208",2006.12,"1,972"
28,035600,257,228,107,"5,253","2,289",143,923,"6,112","2,128",158,34,216,"2,421",41,"2,364",115,"5,623",682,2006.12,"2,965"
133,035720,"1,498",766,"1,117","6,577","2,974",324,"2,209","31,885","5,587","1,080",788,661,"3,079",156,"6,119",449,"27,680","3,467",2006.12,"4,482"
608,035760,"1,058","1,875","1,164","30,309","16,700","1,050","15,867","29,882","19,478","1,229","1,120","1,665","18,158",365,"23,932",330,"31,537","13,537",2006.12,"15,891"
46,035810,174,226,185,"14,747","5,760",246,"4,201","15,810","10,815",70,155,108,"6,103",74,"12,305",7,"14,944","1,994",2006.12,"6,860"
36,036190,214,185,116,"1,429",581,97,478,"1,890",942,152,227,228,659,66,"1,055",92,"1,581",431,2006.12,798
102,036490,136,307,599,"5,974","3,938",506,"2,772","6,651","6,069",671,662,4,"4,651",164,"6,051",375,"5,898","2,234",2006.12,"5,311"
432,036530,670,633,946,"21,492","18,282",664,"12,332","21,693","21,248",872,"1,164",538,"20,139",540,"20,749",591,"20,394","9,589",2006.12,"19,879"
146,036560,100,131,277,"3,176","1,352",230,"1,108","3,591","2,925",172,91,92,"1,576",170,"3,312",222,"3,478",916,2006.12,"1,882"
389,036570,"2,275","1,537","1,674","14,795","5,186","1,883","5,460","22,192","11,134","1,177","1,664","1,587","8,514",459,"13,168",277,"16,988","5,065",2006.12,"10,464"
51,036640,47,35,70,815,471,29,497,886,724,53,42,24,524,31,734,13,853,539,2006.12,617
18,036670,33,19,26,542,434,32,257,556,520,15,55,23,483,27,530,42,562,223,2006.12,495
43,036800,300,105,91,"1,887",603,68,378,"2,909","1,127",115,305,193,718,48,"1,510",50,"2,461",327,2006.12,858
250,036830,364,742,339,"5,676","2,758",259,"2,356","7,317","4,753",70,806,620,"3,296",275,"5,274",191,"5,743","1,734",2006.12,"4,105"
200,037560,257,"1,044",434,"20,805","7,034",429,"7,986","20,003","11,861",770,597,770,"8,007",84,"15,560",149,"21,705","4,898",2006.12,"9,463"
212,037710,422,538,441,"6,564","2,416",365,"2,174","6,595","3,808",523,459,486,"2,817",274,"4,307",311,"6,528","1,886",2006.12,"3,311"
27,038010,51,20,11,"1,221",804,36,780,"1,447",953,23,47,46,753,13,"1,024",15,"1,390",556,2006.12,623
26,038070,27,48,26,604,321,26,314,661,438,33,18,42,359,15,566,5,607,288,2006.12,397
108,038110,57,29,51,"4,725","1,481",49,"1,528","5,795","3,250",146,48,22,"1,772",56,"4,302",41,"5,202","2,370",2006.12,"1,855"
86,039030,423,276,331,"3,519","1,318",30,"1,115","3,729","2,584",177,247,345,"1,368",70,"3,137",113,"3,796",984,2006.12,"2,411"
21,039240,72,63,94,"1,148",668,82,590,"1,463","1,221",94,82,60,801,34,"1,178",30,"1,372",516,2006.12,936
47,039340,23,44,110,732,457,113,491,958,732,60,91,8,632,82,741,18,795,445,2006.12,710
35,039830,86,49,16,"1,809","1,441",7,745,"2,011","1,680",26,62,61,"1,379",20,"1,663",9,"1,893",679,2006.12,"1,540"
56,041440,133,129,85,"2,696","1,398",95,891,"2,854","1,966",134,121,171,"1,226",97,"2,279",110,"3,113",683,2006.12,"1,542"
72,041520,410,174,88,"3,422","1,251",64,981,"3,423","2,014",211,390,367,"1,179",67,"2,394",9,"3,661",655,2006.12,"1,604"
18,041650,189,106,137,"2,677","1,355",61,"1,116","3,344","2,209",74,274,178,"1,452",55,"2,339",63,"3,013","1,010",2006.12,"1,852"
3,041830,89,56,52,537,269,56,212,825,438,56,173,62,326,20,482,61,632,191,2006.12,368
9,042520,35,25,10,334,185,21,162,521,283,9,49,34,211,11,271,20,443,160,2006.09,248
194,042700,298,244,345,"2,407","1,589",66,"1,691","2,256","2,044",165,218,112,"1,833",273,"2,310",74,"2,483","1,405",2006.12,"2,329"
52,043150,116,53,93,"2,277",958,73,706,"2,702","1,711",16,287,141,"1,084",70,"2,000",54,"2,400",566,2006.12,"1,538"
62,043370,393,373,415,"7,138","3,093",318,"2,589","8,850","5,703",439,74,474,"3,658",91,"6,405",141,"7,902","2,224",2006.12,"4,324"
273,044490,70,83,113,"6,493","7,321",320,"2,645","8,602","7,560",154,78,59,"4,954",490,"6,643",743,"7,641","1,557",2006.12,"5,135"
8,044960,10,7,8,273,174,6,189,440,202,8,10,7,189,8,214,2,417,180,2006.12,189
8,045390,49,28,33,952,694,24,652,"1,022",737,28,52,28,810,85,902,13,925,216,2006.12,773
47,046140,88,231,203,"2,031",803,104,709,"2,239","1,656",224,61,247,"1,094",44,"1,723",11,"2,206",801,2006.12,"1,404"
"1,120",047050,"1,764","2,155","1,190","82,686","34,767","1,309","27,621","80,433","89,042","2,107","1,086","1,330","46,954",973,"74,656",786,"93,409","24,738",2006.12,"56,517"
5,047400,36,42,63,"1,444","1,095",43,"1,058","1,457","1,348",63,51,54,"1,079",40,"1,432",79,"1,467","1,084",2006.12,"1,059"
23,048430,162,124,42,"1,071",581,35,444,"1,385",991,54,115,142,655,24,"1,023",17,"1,251",436,2006.12,809
32,04943
